,$,and,div,mult,or,minus,plus,greateq,lesseq,gt,lt,neq,eq,assgn,comma,colon,id,void,float,integer,intlit,closespr,openspr,dot,closepr,openpr,not,floatlit,closecpr,opencpr,semi,return,write,read,while,else,then,if,let,arrow,func,private,public,impl,inherits,struct
structDeclRep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structDeclRep ::= EPSILON,,,,,,,,,,,,,structDeclRep ::= visibility memberDecl ^Member structDeclRep,structDeclRep ::= visibility memberDecl ^Member structDeclRep,,,
varDeclRep,,,,,,,,,,,,,,,,,,,,,,,varDeclRep ::= arraySize varDeclRep,,,,,,,,varDeclRep ::= EPSILON,,,,,,,,,,,,,,,
returnType,,,,,,,,,,,,,,,,,returnType ::= Type,returnType ::= void ^Type,returnType ::= Type,returnType ::= Type,,,,,,,,,,,,,,,,,,,,,,,,,,
arithExprRep,,,,,arithExprRep ::=  addOp term ^Term ^ArithExpr arithExprRep ^AddOp,arithExprRep ::=  addOp term ^Term ^ArithExpr arithExprRep ^AddOp,arithExprRep ::=  addOp term ^Term ^ArithExpr arithExprRep ^AddOp,arithExprRep ::=  EPSILON,arithExprRep ::=  EPSILON,arithExprRep ::=  EPSILON,arithExprRep ::=  EPSILON,arithExprRep ::=  EPSILON,arithExprRep ::=  EPSILON,,arithExprRep ::=  EPSILON,,,,,,,arithExprRep ::=  EPSILON,,,arithExprRep ::= EPSILON,,,,,,arithExprRep ::= EPSILON,,,,,,,,,,,,,,,
multopFactorRep,,multopFactorRep ::= multOp factor ^Factor multopFactorRep ^MultOp,multopFactorRep ::= multOp factor ^Factor multopFactorRep ^MultOp,multopFactorRep ::= multOp factor ^Factor multopFactorRep ^MultOp,multopFactorRep ::= EPSILON,multopFactorRep ::= EPSILON,multopFactorRep ::= EPSILON,multopFactorRep ::= EPSILON,multopFactorRep ::= EPSILON,multopFactorRep ::= EPSILON,multopFactorRep ::= EPSILON,multopFactorRep ::= EPSILON,multopFactorRep ::= EPSILON,,multopFactorRep ::= EPSILON,,,,,,,multopFactorRep ::= EPSILON,,,multopFactorRep ::= EPSILON,,,,,,multopFactorRep ::= EPSILON,,,,,,,,,,,,,,,
Sign,,,,,,Sign ::= minus ^Sign,Sign ::= plus ^Sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statBlock,,,,,,,,,,,,,,,,,statBlock ::= statement ^Statement,,,,,,,,,,,,,statBlock ::= opencpr statementRep closecpr,statBlock ::= EPSILON,statBlock ::= statement ^Statement,statBlock ::= statement ^Statement,statBlock ::= statement ^Statement,statBlock ::= statement ^Statement,statBlock ::= EPSILON,,statBlock ::= statement ^Statement,,,,,,,,
statement,,,,,,,,,,,,,,,,,statement ::= id ^EP ^Id indiceListStatementRep,,,,,,,,,,,,,,,statement ::= return openpr expr  ^Expr closepr semi ^ReturnStatement,statement ::= write openpr expr ^Expr closepr semi ^WriteStatement,statement ::= read openpr variable closepr semi ^ReadStatement,statement ::= while openpr relExpr ^RelExpr closepr ^EP statBlock ^StatBlock semi ^WhileStatement,,,statement ::= if openpr relExpr ^RelExpr closepr then ^EP statBlock ^StatBlock else ^EP statBlock ^StatBlock semi ^IfStatement,,,,,,,,
indiceListStatementRep,,,,,,,,,,,,,,indiceListStatementRep ::= ^EP indiceList ^IndiceReps ^Dot assignStatementRep,,,,,,,,,indiceListStatementRep ::= ^EP indiceList ^IndiceReps ^Dot assignStatementRep,indiceListStatementRep ::= ^EP indiceList ^IndiceReps ^Dot assignStatementRep,,indiceListStatementRep ::= openpr ^EP aParams ^AParams ^Dot closepr indiceListStatementRepEnd,,,,,,,,,,,,,,,,,,,,
assignStatementRep,,,,,,,,,,,,,,assignStatementRep ::= ^DotList assignOp expr ^Expr ^AssignStatement semi,,,,,,,,,,assignStatementRep ::= dot id ^Id indiceListStatementRep,,,,,,,,,,,,,,,,,,,,,,
indiceListStatementRepEnd,,,,,,,,,,,,,,,,,,,,,,,,indiceListStatementRepEnd ::= dot id ^Id indiceListStatementRep,,,,,,,indiceListStatementRepEnd ::= ^DotList ^FunctionCallStatement semi,,,,,,,,,,,,,,,
structDecl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structDecl ::= struct id ^Id ^EP structDeclOpt ^InheritsList opencpr ^EP structDeclRep ^MemberList closecpr semi
structOrImplOrFunc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structOrImplOrFunc ::= funcDef ^FuncDef,,,structOrImplOrFunc ::= implDef ^Impldef,,structOrImplOrFunc ::= structDecl ^StructDecl
term,,,,,,term ::= factor ^Factor multopFactorRep,term ::= factor ^Factor multopFactorRep,,,,,,,,,,term ::= factor ^Factor multopFactorRep,,,,term ::= factor ^Factor multopFactorRep,,,,,term ::= factor ^Factor multopFactorRep,term ::= factor ^Factor multopFactorRep,term ::= factor ^Factor multopFactorRep,,,,,,,,,,,,,,,,,,
Type,,,,,,,,,,,,,,,,,Type ::= id ^Type,,Type ::= float ^Type,Type ::= integer ^Type,,,,,,,,,,,,,,,,,,,,,,,,,,
varDecl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varDecl ::= let id ^Id colon Type  ^EP varDeclRep ^ArraySize semi,,,,,,,
varDeclOrStat,,,,,,,,,,,,,,,,,varDeclOrStat::= statement,,,,,,,,,,,,,,,varDeclOrStat::= statement,varDeclOrStat::= statement,varDeclOrStat::= statement,varDeclOrStat::= statement,,,varDeclOrStat::= statement,varDeclOrStat::= varDecl ^VarDecl,,,,,,,
variable,,,,,,,,,,,,,,,,,variable ::= id ^Id indiceListVariable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indiceListVariable,,,,,,,,,,,,,,,,,,,,,,,indiceListVariable ::= ^EP indiceList ^IndiceReps ^Dot indiceListVariableRep,indiceListVariable ::= ^EP indiceList ^IndiceReps ^Dot indiceListVariableRep,indiceListVariable ::= ^EP indiceList ^IndiceReps ^Dot indiceListVariableRep,indiceListVariable ::= openpr ^EP aParams ^AParams ^Dot closepr indiceListVariableRepEnd,,,,,,,,,,,,,,,,,,,,
indiceListVariableRep,,,,,,,,,,,,,,,,,,,,,,,,indiceListVariableRep ::= dot id ^Id indiceListVariable,indiceListVariableRep ::= EPSILON,,,,,,,,,,,,,,,,,,,,,
indiceListVariableRepEnd,,,,,,,,,,,,,,,,,,,,,,,,indiceListVariableRepEnd ::= dot id ^Id indiceListVariable,,,,,,,,,,,,,,,,,,,,,,
visibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visibility ::= private ^Visibility,visibility ::= public ^Visibility,,,
